emp_no,first_name,last_name,to_date
10001,Georgi,Facello,1999-01-01
10004,Chirstian,Koblick,1999-01-01
10009,Sumant,Peac,1999-01-01
10018,Kazuhide,Peha,1999-01-01
10035,Alain,Chappelet,1999-01-01
10053,Sanjiv,Zschoche,1999-01-01
10058,Berhard,McFarlin,1999-01-01
10066,Kwee,Schusler,1999-01-01
10067,Claudi,Stavenow,1999-01-01
10070,Reuven,Garigliano,1999-01-01
10072,Hironoby,Sidou,1999-01-01
10076,Erez,Ritzmann,1999-01-01
10088,Jungsoon,Syrzycki,1999-01-01
10100,Hironobu,Haraldson,1999-01-01
10103,Akemi,Birch,1999-01-01
10126,Kayoko,Valtorta,1999-01-01
10129,Armond,Peir,1999-01-01
10130,Nishit,Casperson,1999-01-01
10134,Diederik,Siprelle,1999-01-01
10138,Perry,Shimshoni,1999-01-01
10150,Zhenbing,Perng,1999-01-01
10153,Heekeun,Majewski,1999-01-01
10157,Nigel,Aloisi,1999-01-01
10198,Pranav,Furedi,1999-01-01
10215,Xiaobin,Duclos,1999-01-01
10224,Leon,Trogemann,1999-01-01
10233,Lein,Vendrig,1999-01-01
10258,Basil,Ishibashi,1999-01-01
10272,Yishai,Cannane,1999-01-01
10282,Hercules,Benzmuller,1999-01-01
10283,Kauko,Birjandi,1999-01-01
10326,Masali,Czap,1999-01-01
10340,Djelloul,Laventhal,1999-01-01
10347,Pradeep,Kaminger,1999-01-01
10355,Satyanarayana,Cochrane,1999-01-01
10356,Vasilis,Standera,1999-01-01
10364,Nakhoon,Dengi,1999-01-01
10372,Anneli,Frijda,1999-01-01
10387,Parto,Wrigley,1999-01-01
10396,Sibyl,Rahier,1999-01-01
10402,Volkmar,Ebeling,1999-01-01
10404,Prodip,Rosti,1999-01-01
10426,Arunas,Luce,1999-01-01
10429,Martien,Improta,1999-01-01
10432,Hisao,Tiemann,1999-01-01
10451,Bodh,Ranta,1999-01-01
10453,Tsvetan,Matzel,1999-01-01
10463,Ung,Zaiane,1999-01-01
10486,Amstein,Kossowski,1999-01-01
10494,Yakkov,Servieres,1999-01-01
10504,Xiong,Varker,1999-01-01
10512,Udi,Gihr,1999-01-01
10522,Marke,Cesareni,1999-01-01
10548,Ramalingam,Gunderson,1999-01-01
10564,Jianhao,Thisen,1999-01-01
10623,Aleksander,Danlos,1999-01-01
10628,Krisda,Krogh,1999-01-01
10631,Inderjeet,Chaudhuri,1999-01-01
10642,Hirochika,Narlikar,1999-01-01
10653,Otmar,Feinberg,1999-01-01
10671,Parviz,Rebaine,1999-01-01
10676,Valeri,Danley,1999-01-01
10693,Berhard,Daescu,1999-01-01
10702,Bader,Szemeredi,1999-01-01
10718,Adib,Rullman,1999-01-01
10726,Zita,Minakawa,1999-01-01
10734,Sachar,Erdi,1999-01-01
10745,Poorav,Ranze,1999-01-01
10749,King,Brendel,1999-01-01
10767,Monique,Doering,1999-01-01
10768,Ishfaq,Candan,1999-01-01
10778,Selwyn,Merey,1999-01-01
10791,Tadahiko,Sgarro,1999-01-01
10795,Supot,Naudin,1999-01-01
10808,Chenxi,Leijenhorst,1999-01-01
10835,Tomoyuki,Kermarrec,1999-01-01
10836,Jianhua,Leivant,1999-01-01
10844,Dipayan,Koprowski,1999-01-01
10847,Theirry,Danley,1999-01-01
10848,Fen,Bratsberg,1999-01-01
10878,Lakshmi,Deville,1999-01-01
10879,Muzhong,Chleq,1999-01-01
10883,Shimshon,Champarnaud,1999-01-01
10909,Georgi,Atchley,1999-01-01
10921,Mara,Bahi,1999-01-01
10924,Hironoby,Atchley,1999-01-01
10927,Gal,Scallan,1999-01-01
10936,Mountaz,Schicker,1999-01-01
10943,Berna,Skafidas,1999-01-01
10965,Eckart,Braunschweig,1999-01-01
10969,Premal,Noriega,1999-01-01
10974,Muneo,Papsdorf,1999-01-01
10986,Masako,Schiper,1999-01-01
10988,Chinya,Deyuan,1999-01-01
10989,Sumali,Candan,1999-01-01
10990,Shin,Foote,1999-01-01
11009,Alper,Axelband,1999-01-01
11012,Taegyun,Speckmann,1999-01-01
11019,Leon,Huttel,1999-01-01
11021,Srinidhi,Henders,1999-01-01
11027,Remzi,Cappello,1999-01-01
11031,Ottavia,Walstra,1999-01-01
11037,Lansing,Maliniak,1999-01-01
11038,Jinya,Beidas,1999-01-01
11042,Gou,Breugel,1999-01-01
11048,Jaques,Demke,1999-01-01
11050,Elvis,Katiyar,1999-01-01
11051,Przemyslawa,Erol,1999-01-01
11070,Adib,Raney,1999-01-01
11081,Barry,Boyle,1999-01-01
11085,Hailing,Thummel,1999-01-01
11100,Berna,Cochrane,1999-01-01
11106,Aris,Iwayama,1999-01-01
11112,Boaz,Mukaidono,1999-01-01
11113,Shahab,Peng,1999-01-01
11121,Vugranam,Kakkad,1999-01-01
11133,Nalini,Azulay,1999-01-01
11134,Sachar,Rajcani,1999-01-01
11137,Hugh,Luca,1999-01-01
11139,Bogdan,Homond,1999-01-01
11146,Ishfaq,Masand,1999-01-01
11148,Zhanqiu,Botman,1999-01-01
11162,Kauko,Narlikar,1999-01-01
11180,Mitsuyuki,Bojadziev,1999-01-01
11197,Tadahiro,Fordan,1999-01-01
11204,Diederik,Covnot,1999-01-01
11207,Saeed,Gips,1999-01-01
11208,Saniya,Valtorta,1999-01-01
11211,Yurij,Rissland,1999-01-01
11217,Kellie,Mawatari,1999-01-01
11232,Hidefumi,Crelier,1999-01-01
11240,Kiam,Condotta,1999-01-01
11249,Randi,Cyre,1999-01-01
11251,Bezalel,Chinal,1999-01-01
11268,Aimee,Petersohn,1999-01-01
11275,Hitomi,Eppinger,1999-01-01
11290,Visit,Dredge,1999-01-01
11295,Abdelkader,Lanzelotte,1999-01-01
11319,Pranas,Marrakchi,1999-01-01
11320,Atilio,McAlpine,1999-01-01
11322,Nathalie,Pocchiola,1999-01-01
11324,Kauko,Billingsley,1999-01-01
11338,Kwangsub,Hanratty,1999-01-01
11339,Flemming,Massonet,1999-01-01
11347,Anneli,Jonsson,1999-01-01
11365,Toshimi,Shinomoto,1999-01-01
11376,Valery,Suomi,1999-01-01
11380,Kenroku,Pelc,1999-01-01
11385,Shiv,Ullian,1999-01-01
11386,Alselm,Assaf,1999-01-01
11393,Junsik,Junot,1999-01-01
11398,Oscar,Peir,1999-01-01
11404,Bedrich,Borovoy,1999-01-01
11415,Sanjiv,Anido,1999-01-01
11421,Josyula,Msuda,1999-01-01
11441,Marlo,Aingworth,1999-01-01
11449,Kotesh,Asser,1999-01-01
11459,Duke,Suomi,1999-01-01
11469,Guttorm,Giaccio,1999-01-01
11506,Rance,Picel,1999-01-01
11509,Aleksander,Feldhoffer,1999-01-01
11513,Otmar,Mahnke,1999-01-01
11515,Ulf,Basawa,1999-01-01
11518,Jinxi,Oxman,1999-01-01
11524,Xiadong,Standera,1999-01-01
11527,Alagu,Boyle,1999-01-01
11528,Zito,Dolinsky,1999-01-01
11537,DAIDA,Pehl,1999-01-01
11554,Subhash,Taubenfeld,1999-01-01
11555,Kotesh,Perfilyeva,1999-01-01
11567,Teiji,Mitzlaff,1999-01-01
11568,Martins,Fujisaki,1999-01-01
11603,Herb,Swen,1999-01-01
11607,Tomokazu,Foong,1999-01-01
11615,Shem,Isaak,1999-01-01
11624,Adil,Gammage,1999-01-01
11628,Fan,Malinowski,1999-01-01
11640,Valeri,Coorg,1999-01-01
11647,Magy,Nitsche,1999-01-01
11660,Gill,Stenning,1999-01-01
11673,Henk,Felder,1999-01-01
11676,Valeri,Ferriere,1999-01-01
11681,Fumitake,Benzmuller,1999-01-01
11684,Oksana,Gide,1999-01-01
11696,Dante,Rothe,1999-01-01
11732,Sanjoy,Ranft,1999-01-01
11735,Amalendu,Picci,1999-01-01
11746,Koichi,Marrakchi,1999-01-01
11751,Jiafu,Emiris,1999-01-01
11764,Sanjay,Anick,1999-01-01
11769,Chandrasekaran,Lampe,1999-01-01
11772,Gaurav,Penz,1999-01-01
11797,Chenxi,Thambidurai,1999-01-01
11810,Amabile,Bhattacharjee,1999-01-01
11817,Niranjan,Markovitch,1999-01-01
11832,Arto,Zlotek,1999-01-01
11844,Shawna,Demeyer,1999-01-01
11853,Zeljko,Kusakabe,1999-01-01
11857,Divier,Farrag,1999-01-01
11864,Pradeep,Kriebel,1999-01-01
11871,Nalini,Sommen,1999-01-01
11872,Cheong,Riexinger,1999-01-01
11894,Mitchel,Validov,1999-01-01
11897,Cordelia,Setlzner,1999-01-01
11906,Hideo,Boguraev,1999-01-01
11915,Miomir,Mawatari,1999-01-01
11931,Gunilla,Chiodo,1999-01-01
11933,Basil,Erman,1999-01-01
11949,Martijn,Harbusch,1999-01-01
11983,Jaana,Hedayat,1999-01-01
11993,Marit,Dalphin,1999-01-01
12011,Zhilian,Coorg,1999-01-01
12036,Mads,Ratzlaff,1999-01-01
12037,Arunas,Katzenelson,1999-01-01
12050,Yuchang,Tchuente,1999-01-01
12062,Margareta,Worfolk,1999-01-01
12069,Ayonca,Burnard,1999-01-01
12070,Ger,Shokrollahi,1999-01-01
12076,Karlis,Siprelle,1999-01-01
12082,Xinan,Yamaashi,1999-01-01
12089,Bilhanan,Socorro,1999-01-01
12099,Nobuyoshi,Kuzuoka,1999-01-01
12112,Satyanarayana,Avouris,1999-01-01
12122,Satoru,Krone,1999-01-01
12123,Xiahua,Syrzycki,1999-01-01
12125,Shounak,Erman,1999-01-01
12149,Suebskul,Grandbois,1999-01-01
12159,Shem,Perly,1999-01-01
12165,Xiaobin,Maquelin,1999-01-01
12183,Harngdar,Iisaku,1999-01-01
12192,Feiyu,Klyachko,1999-01-01
12205,Sushant,Rossi,1999-01-01
12206,Barton,Janetzko,1999-01-01
12218,Yaghout,Strooper,1999-01-01
12221,Vincent,Melter,1999-01-01
12222,Abdelwaheb,Holburn,1999-01-01
12223,Niteen,Koyama,1999-01-01
12247,Subbu,Penttonen,1999-01-01
12249,Eldridge,Sadowski,1999-01-01
12256,Guadalupe,Reghbati,1999-01-01
12264,Mart,Pagter,1999-01-01
12270,Shakhar,Kornyak,1999-01-01
12272,Behnaam,Grandbois,1999-01-01
12308,Mototsugu,Cronau,1999-01-01
12311,Susanne,Lubachevsky,1999-01-01
12327,DAIDA,Bruckman,1999-01-01
12341,Rasiah,Luga,1999-01-01
12343,Sorina,Slaats,1999-01-01
12365,Kamakshi,Bisiani,1999-01-01
12373,Mooi,Driscoll,1999-01-01
12395,Sanjit,Felder,1999-01-01
12399,Mihalis,Luga,1999-01-01
12411,Shao,Ibel,1999-01-01
12413,Hugh,Gadepally,1999-01-01
12417,Dannz,Spelt,1999-01-01
12422,Berhard,Demos,1999-01-01
12454,Kerryn,Farris,1999-01-01
12464,Shai,Milicic,1999-01-01
12475,Filipe,Roison,1999-01-01
12487,Mona,Reghbati,1999-01-01
12489,Arnould,Munck,1999-01-01
12490,Jackson,Muchinsky,1999-01-01
12497,Stein,Penz,1999-01-01
12501,Morrie,Matheson,1999-01-01
12504,Adly,Rosaz,1999-01-01
12514,Tomofumi,Melter,1999-01-01
12528,Conor,Cincotta,1999-01-01
12534,Yongmao,Gerlach,1999-01-01
12541,Shih,Nanard,1999-01-01
12542,Kazuhide,Bouloucos,1999-01-01
12551,Jeane,Tzvieli,1999-01-01
12553,Aral,Vesna,1999-01-01
12557,Stafford,Kopetz,1999-01-01
12589,Anoosh,Chleq,1999-01-01
12596,Breannda,Roisin,1999-01-01
12601,Ghassan,Simkin,1999-01-01
12608,Nectarios,Mondadori,1999-01-01
12635,Xinyu,Restivo,1999-01-01
12638,Yuqun,Seiwald,1999-01-01
12642,Suebskul,Gips,1999-01-01
12651,Pragnesh,Bael,1999-01-01
12662,Leucio,Alvarado,1999-01-01
12663,Nobuyoshi,Stellhorn,1999-01-01
12664,Zhonghua,Parveen,1999-01-01
12689,Luerbio,Boudaillier,1999-01-01
12691,Oddvar,Gils,1999-01-01
12697,Uri,Brizzi,1999-01-01
12709,Ronghao,Botman,1999-01-01
12717,Tzu,Jiafu,1999-01-01
12722,Elliott,Cheshire,1999-01-01
12726,Fumitake,Panwar,1999-01-01
12729,Nahla,Rahier,1999-01-01
