emp_no,first_name,last_name,to_date,title
10001,Georgi,Facello,9999-01-01,Senior Engineer
10004,Chirstian,Koblick,1995-12-01,Engineer
10004,Chirstian,Koblick,9999-01-01,Senior Engineer
10009,Sumant,Peac,1990-02-18,Assistant Engineer
10009,Sumant,Peac,1995-02-18,Engineer
10009,Sumant,Peac,9999-01-01,Senior Engineer
10018,Kazuhide,Peha,1995-04-03,Engineer
10018,Kazuhide,Peha,9999-01-01,Senior Engineer
10035,Alain,Chappelet,1996-09-05,Engineer
10035,Alain,Chappelet,9999-01-01,Senior Engineer
10053,Sanjiv,Zschoche,9999-01-01,Senior Staff
10058,Berhard,McFarlin,9999-01-01,Senior Staff
10066,Kwee,Schusler,1992-02-26,Assistant Engineer
10066,Kwee,Schusler,1998-02-25,Engineer
10066,Kwee,Schusler,9999-01-01,Senior Engineer
10067,Claudi,Stavenow,1996-03-03,Engineer
10067,Claudi,Stavenow,9999-01-01,Senior Engineer
10070,Reuven,Garigliano,9999-01-01,Technique Leader
10072,Hironoby,Sidou,1995-05-21,Engineer
10072,Hironoby,Sidou,9999-01-01,Senior Engineer
10076,Erez,Ritzmann,9999-01-01,Senior Engineer
10088,Jungsoon,Syrzycki,9999-01-01,Senior Staff
10088,Jungsoon,Syrzycki,1993-09-02,Staff
10100,Hironobu,Haraldson,9999-01-01,Senior Staff
10100,Hironobu,Haraldson,1994-09-21,Staff
10103,Akemi,Birch,9999-01-01,Engineer
10108,Lunjin,Giveon,2001-10-20,Staff
10116,Dayanand,Czap,1998-11-01,Senior Engineer
10126,Kayoko,Valtorta,9999-01-01,Senior Staff
10126,Kayoko,Valtorta,1991-09-08,Staff
10129,Armond,Peir,9999-01-01,Technique Leader
10130,Nishit,Casperson,9999-01-01,Senior Engineer
10134,Diederik,Siprelle,1994-12-12,Engineer
10134,Diederik,Siprelle,9999-01-01,Senior Engineer
10138,Perry,Shimshoni,2001-03-03,Engineer
10138,Perry,Shimshoni,9999-01-01,Senior Engineer
10149,Xiadong,Perry,1996-08-27,Staff
10150,Zhenbing,Perng,1995-11-16,Engineer
10150,Zhenbing,Perng,9999-01-01,Senior Engineer
10152,Jaques,Munro,1987-08-03,Engineer
10153,Heekeun,Majewski,9999-01-01,Assistant Engineer
10157,Nigel,Aloisi,9999-01-01,Senior Engineer
10161,Hairong,Mellouli,1994-01-05,Engineer
10186,Shigehito,Kropatsch,1997-08-16,Staff
10198,Pranav,Furedi,1993-08-31,Engineer
10198,Pranav,Furedi,9999-01-01,Senior Engineer
10215,Xiaobin,Duclos,9999-01-01,Senior Staff
10217,Yongmin,Roison,1993-08-05,Technique Leader
10224,Leon,Trogemann,1996-01-09,Engineer
10224,Leon,Trogemann,9999-01-01,Senior Engineer
10229,Ulises,Takanami,2000-06-30,Engineer
10233,Lein,Vendrig,9999-01-01,Senior Staff
10233,Lein,Vendrig,2000-04-28,Staff
10258,Basil,Ishibashi,1991-05-17,Assistant Engineer
10258,Basil,Ishibashi,1997-05-16,Engineer
10258,Basil,Ishibashi,9999-01-01,Senior Engineer
10272,Yishai,Cannane,9999-01-01,Staff
10282,Hercules,Benzmuller,2001-05-02,Assistant Engineer
10282,Hercules,Benzmuller,9999-01-01,Engineer
10283,Kauko,Birjandi,1995-05-26,Engineer
10283,Kauko,Birjandi,9999-01-01,Senior Engineer
10286,Saddek,Gopalakrishnan,1999-01-24,Staff
10302,Faiza,Baer,1999-11-09,Senior Staff
10302,Faiza,Baer,1994-07-22,Staff
10305,Hirochika,Piancastelli,1992-06-02,Engineer
10326,Masali,Czap,9999-01-01,Staff
10327,Roded,Facello,1993-05-22,Engineer
10340,Djelloul,Laventhal,9999-01-01,Senior Staff
10340,Djelloul,Laventhal,1993-03-30,Staff
10347,Pradeep,Kaminger,9999-01-01,Staff
10355,Satyanarayana,Cochrane,9999-01-01,Staff
10356,Vasilis,Standera,9999-01-01,Senior Staff
10363,Toshiki,Muniz,1993-02-12,Assistant Engineer
10364,Nakhoon,Dengi,9999-01-01,Senior Engineer
10372,Anneli,Frijda,9999-01-01,Technique Leader
10387,Parto,Wrigley,9999-01-01,Senior Staff
10387,Parto,Wrigley,1999-01-07,Staff
10395,Takahiro,Deverell,2001-08-13,Engineer
10396,Sibyl,Rahier,9999-01-01,Senior Engineer
10402,Volkmar,Ebeling,9999-01-01,Technique Leader
10404,Prodip,Rosti,1996-08-28,Engineer
10404,Prodip,Rosti,9999-01-01,Senior Engineer
10426,Arunas,Luce,9999-01-01,Technique Leader
10429,Martien,Improta,9999-01-01,Senior Engineer
10432,Hisao,Tiemann,9999-01-01,Senior Staff
10432,Hisao,Tiemann,1996-08-12,Staff
10442,Volkmar,Unno,2001-03-13,Senior Staff
10442,Volkmar,Unno,1999-02-12,Staff
10451,Bodh,Ranta,1993-03-12,Assistant Engineer
10451,Bodh,Ranta,1998-03-12,Engineer
10451,Bodh,Ranta,9999-01-01,Senior Engineer
10453,Tsvetan,Matzel,9999-01-01,Senior Staff
10453,Tsvetan,Matzel,1993-04-02,Staff
10463,Ung,Zaiane,9999-01-01,Staff
10466,Jiakeng,Himler,2000-08-15,Staff
10486,Amstein,Kossowski,1996-10-07,Engineer
10486,Amstein,Kossowski,9999-01-01,Senior Engineer
10494,Yakkov,Servieres,2000-12-17,Engineer
10494,Yakkov,Servieres,9999-01-01,Senior Engineer
10504,Xiong,Varker,9999-01-01,Staff
10512,Udi,Gihr,9999-01-01,Senior Staff
10512,Udi,Gihr,1998-11-28,Staff
10519,Yonghoan,Alencar,2001-10-13,Senior Staff
10519,Yonghoan,Alencar,2000-12-05,Staff
10522,Marke,Cesareni,9999-01-01,Senior Staff
10522,Marke,Cesareni,1995-12-12,Staff
10538,Przemyslawa,Falby,1998-12-13,Senior Engineer
10541,Godehard,Eiter,1986-10-01,Staff
10548,Ramalingam,Gunderson,9999-01-01,Senior Staff
10548,Ramalingam,Gunderson,1993-07-04,Staff
10564,Jianhao,Thisen,2000-11-22,Engineer
10564,Jianhao,Thisen,9999-01-01,Senior Engineer
10575,Theirry,Yeung,2000-11-22,Senior Engineer
10591,Hidde,Hettesheimer,1988-09-20,Staff
10608,Adhemar,Talmor,1991-06-02,Senior Engineer
10617,Hidekazu,Angel,2001-10-03,Senior Staff
10623,Aleksander,Danlos,1999-01-15,Engineer
10623,Aleksander,Danlos,9999-01-01,Senior Engineer
10628,Krisda,Krogh,1994-03-14,Assistant Engineer
10628,Krisda,Krogh,2001-03-14,Engineer
10628,Krisda,Krogh,9999-01-01,Senior Engineer
10629,Lalit,Francisci,2001-12-07,Staff
10631,Inderjeet,Chaudhuri,9999-01-01,Engineer
10642,Hirochika,Narlikar,9999-01-01,Engineer
