emp_no,first_name,last_name,to_date,title,salary
10009,Sumant,Peac,9999-01-01,Senior Engineer,60929
10009,Sumant,Peac,1995-02-18,Engineer,60929
10009,Sumant,Peac,1990-02-18,Assistant Engineer,60929
10035,Alain,Chappelet,9999-01-01,Senior Engineer,41538
10035,Alain,Chappelet,1996-09-05,Engineer,41538
10058,Berhard,McFarlin,9999-01-01,Senior Staff,52787
10066,Kwee,Schusler,9999-01-01,Senior Engineer,69736
10066,Kwee,Schusler,1998-02-25,Engineer,69736
10066,Kwee,Schusler,1992-02-26,Assistant Engineer,69736
10070,Reuven,Garigliano,9999-01-01,Technique Leader,55999
10076,Erez,Ritzmann,9999-01-01,Senior Engineer,47319
10100,Hironobu,Haraldson,1994-09-21,Staff,54398
10100,Hironobu,Haraldson,9999-01-01,Senior Staff,54398
10152,Jaques,Munro,1987-08-03,Engineer,40000
10153,Heekeun,Majewski,9999-01-01,Assistant Engineer,54246
10157,Nigel,Aloisi,9999-01-01,Senior Engineer,48770
10186,Shigehito,Kropatsch,1997-08-16,Staff,40000
10215,Xiaobin,Duclos,9999-01-01,Senior Staff,43944
10258,Basil,Ishibashi,9999-01-01,Senior Engineer,66280
10258,Basil,Ishibashi,1997-05-16,Engineer,66280
10258,Basil,Ishibashi,1991-05-17,Assistant Engineer,66280
10272,Yishai,Cannane,9999-01-01,Staff,58070
10282,Hercules,Benzmuller,9999-01-01,Engineer,40000
10282,Hercules,Benzmuller,2001-05-02,Assistant Engineer,40000
10286,Saddek,Gopalakrishnan,1999-01-24,Staff,40000
10302,Faiza,Baer,1994-07-22,Staff,58239
10302,Faiza,Baer,1999-11-09,Senior Staff,58239
10326,Masali,Czap,9999-01-01,Staff,40000
10347,Pradeep,Kaminger,9999-01-01,Staff,42199
10356,Vasilis,Standera,9999-01-01,Senior Staff,45376
10363,Toshiki,Muniz,1993-02-12,Assistant Engineer,40401
10372,Anneli,Frijda,9999-01-01,Technique Leader,54505
10387,Parto,Wrigley,1999-01-07,Staff,61374
10387,Parto,Wrigley,9999-01-01,Senior Staff,61374
10395,Takahiro,Deverell,2001-08-13,Engineer,42774
10432,Hisao,Tiemann,1996-08-12,Staff,40000
10432,Hisao,Tiemann,9999-01-01,Senior Staff,40000
10442,Volkmar,Unno,1999-02-12,Staff,46005
10442,Volkmar,Unno,2001-03-13,Senior Staff,46005
10486,Amstein,Kossowski,9999-01-01,Senior Engineer,71692
10486,Amstein,Kossowski,1996-10-07,Engineer,71692
10504,Xiong,Varker,9999-01-01,Staff,43931
10512,Udi,Gihr,1998-11-28,Staff,40000
10512,Udi,Gihr,9999-01-01,Senior Staff,40000
10519,Yonghoan,Alencar,2000-12-05,Staff,40000
10519,Yonghoan,Alencar,2001-10-13,Senior Staff,40000
10522,Marke,Cesareni,1995-12-12,Staff,40000
10522,Marke,Cesareni,9999-01-01,Senior Staff,40000
10541,Godehard,Eiter,1986-10-01,Staff,50741
10548,Ramalingam,Gunderson,1993-07-04,Staff,90631
10548,Ramalingam,Gunderson,9999-01-01,Senior Staff,90631
10564,Jianhao,Thisen,9999-01-01,Senior Engineer,46660
10564,Jianhao,Thisen,2000-11-22,Engineer,46660
10617,Hidekazu,Angel,2001-10-03,Senior Staff,40000
10623,Aleksander,Danlos,9999-01-01,Senior Engineer,60268
10623,Aleksander,Danlos,1999-01-15,Engineer,60268
10629,Lalit,Francisci,2001-12-07,Staff,87045
10631,Inderjeet,Chaudhuri,9999-01-01,Engineer,40000
10653,Otmar,Feinberg,9999-01-01,Senior Engineer,40000
10671,Parviz,Rebaine,2001-09-13,Staff,74037
10671,Parviz,Rebaine,9999-01-01,Senior Staff,74037
10676,Valeri,Danley,9999-01-01,Engineer,58226
10702,Bader,Szemeredi,9999-01-01,Senior Engineer,46581
10718,Adib,Rullman,9999-01-01,Senior Engineer,75473
10718,Adib,Rullman,1997-07-21,Engineer,75473
10731,Fumitaka,Peak,1994-02-20,Staff,77892
10731,Fumitaka,Peak,2000-10-09,Senior Staff,77892
10734,Sachar,Erdi,9999-01-01,Engineer,47377
10745,Poorav,Ranze,9999-01-01,Senior Engineer,40000
10745,Poorav,Ranze,1997-01-22,Engineer,40000
10749,King,Brendel,9999-01-01,Senior Engineer,60829
10749,King,Brendel,1990-09-26,Engineer,60829
10751,Jordanka,Ushiama,2000-12-05,Engineer,50052
10767,Monique,Doering,9999-01-01,Staff,40651
10768,Ishfaq,Candan,9999-01-01,Senior Engineer,65717
10768,Ishfaq,Candan,1990-07-04,Engineer,65717
10778,Selwyn,Merey,9999-01-01,Senior Staff,64996
10791,Tadahiko,Sgarro,9999-01-01,Senior Engineer,40000
10791,Tadahiko,Sgarro,1995-07-31,Engineer,40000
10808,Chenxi,Leijenhorst,9999-01-01,Senior Engineer,40000
10835,Tomoyuki,Kermarrec,9999-01-01,Engineer,40000
10836,Jianhua,Leivant,9999-01-01,Senior Staff,65502
10847,Theirry,Danley,1992-07-24,Staff,40000
10847,Theirry,Danley,9999-01-01,Senior Staff,40000
10878,Lakshmi,Deville,9999-01-01,Staff,72102
10883,Shimshon,Champarnaud,9999-01-01,Engineer,40000
10909,Georgi,Atchley,9999-01-01,Senior Engineer,80935
10909,Georgi,Atchley,2000-12-26,Engineer,80935
10918,Susumu,Reghbati,1990-10-10,Staff,59521
10921,Mara,Bahi,9999-01-01,Senior Engineer,72601
10921,Mara,Bahi,1995-07-27,Engineer,72601
10924,Hironoby,Atchley,1997-08-14,Staff,84783
10924,Hironoby,Atchley,9999-01-01,Senior Staff,84783
10969,Premal,Noriega,9999-01-01,Senior Engineer,40000
10974,Muneo,Papsdorf,9999-01-01,Senior Engineer,56005
10986,Masako,Schiper,9999-01-01,Technique Leader,43900
10988,Chinya,Deyuan,9999-01-01,Senior Engineer,54174
11019,Leon,Huttel,9999-01-01,Senior Engineer,69387
11019,Leon,Huttel,1997-05-24,Engineer,69387
11021,Srinidhi,Henders,9999-01-01,Staff,62670
11027,Remzi,Cappello,9999-01-01,Senior Engineer,40000
11027,Remzi,Cappello,1996-05-06,Engineer,40000
11027,Remzi,Cappello,1991-05-07,Assistant Engineer,40000
11042,Gou,Breugel,9999-01-01,Senior Engineer,40000
11042,Gou,Breugel,2000-06-21,Engineer,40000
11048,Jaques,Demke,9999-01-01,Senior Staff,65697
11050,Elvis,Katiyar,1991-05-06,Staff,52251
11050,Elvis,Katiyar,9999-01-01,Senior Staff,52251
11051,Przemyslawa,Erol,9999-01-01,Senior Engineer,40000
11051,Przemyslawa,Erol,2000-03-26,Engineer,40000
11070,Adib,Raney,9999-01-01,Senior Engineer,40000
11070,Adib,Raney,1991-07-24,Engineer,40000
11081,Barry,Boyle,1994-06-17,Staff,65686
11081,Barry,Boyle,9999-01-01,Senior Staff,65686
11085,Hailing,Thummel,9999-01-01,Senior Engineer,66437
11106,Aris,Iwayama,9999-01-01,Senior Engineer,71446
11106,Aris,Iwayama,1997-08-30,Engineer,71446
11106,Aris,Iwayama,1991-08-31,Assistant Engineer,71446
11110,Valeska,Birjandi,1992-03-30,Staff,43063
11113,Shahab,Peng,1991-11-30,Staff,66401
11113,Shahab,Peng,9999-01-01,Senior Staff,66401
11121,Vugranam,Kakkad,9999-01-01,Senior Engineer,40000
11121,Vugranam,Kakkad,1999-11-01,Engineer,40000
11133,Nalini,Azulay,9999-01-01,Technique Leader,40000
11148,Zhanqiu,Botman,1997-02-08,Staff,56344
11148,Zhanqiu,Botman,9999-01-01,Senior Staff,56344
11162,Kauko,Narlikar,9999-01-01,Senior Engineer,69873
11162,Kauko,Narlikar,1990-03-28,Engineer,69873
11207,Saeed,Gips,9999-01-01,Engineer,49728
11211,Yurij,Rissland,9999-01-01,Senior Engineer,72668
11240,Kiam,Condotta,9999-01-01,Engineer,61739
11240,Kiam,Condotta,1997-01-06,Assistant Engineer,61739
11251,Bezalel,Chinal,1993-06-15,Staff,69432
11251,Bezalel,Chinal,9999-01-01,Senior Staff,69432
11275,Hitomi,Eppinger,9999-01-01,Senior Engineer,58382
11275,Hitomi,Eppinger,1998-04-25,Engineer,58382
11295,Abdelkader,Lanzelotte,1990-05-15,Staff,66622
11295,Abdelkader,Lanzelotte,9999-01-01,Senior Staff,66622
11320,Atilio,McAlpine,1998-04-06,Staff,45118
11320,Atilio,McAlpine,9999-01-01,Senior Staff,45118
11324,Kauko,Billingsley,9999-01-01,Senior Engineer,54288
11338,Kwangsub,Hanratty,9999-01-01,Senior Staff,82210
11339,Flemming,Massonet,9999-01-01,Senior Engineer,40000
11347,Anneli,Jonsson,9999-01-01,Senior Engineer,41524
11347,Anneli,Jonsson,1992-04-19,Engineer,41524
11365,Toshimi,Shinomoto,9999-01-01,Engineer,56463
11380,Kenroku,Pelc,9999-01-01,Senior Engineer,53345
11380,Kenroku,Pelc,2001-04-18,Engineer,53345
11380,Kenroku,Pelc,1996-04-18,Assistant Engineer,53345
11386,Alselm,Assaf,9999-01-01,Senior Engineer,47726
11386,Alselm,Assaf,1993-11-29,Engineer,47726
11398,Oscar,Peir,2001-09-07,Staff,44625
11398,Oscar,Peir,9999-01-01,Senior Staff,44625
11415,Sanjiv,Anido,9999-01-01,Engineer,40000
11421,Josyula,Msuda,9999-01-01,Senior Engineer,52416
11421,Josyula,Msuda,1995-09-02,Engineer,52416
11469,Guttorm,Giaccio,9999-01-01,Senior Engineer,44625
11469,Guttorm,Giaccio,1999-09-08,Engineer,44625
11477,Fox,Narahari,1996-09-12,Engineer,40000
11515,Ulf,Basawa,9999-01-01,Staff,70182
11518,Jinxi,Oxman,1999-09-22,Staff,40000
11518,Jinxi,Oxman,9999-01-01,Senior Staff,40000
11527,Alagu,Boyle,9999-01-01,Staff,60212
11537,DAIDA,Pehl,9999-01-01,Senior Staff,96023
11554,Subhash,Taubenfeld,9999-01-01,Staff,46065
11555,Kotesh,Perfilyeva,1991-10-14,Staff,40000
11555,Kotesh,Perfilyeva,9999-01-01,Senior Staff,40000
11562,Rimli,Alencar,1994-12-13,Engineer,82255
11567,Teiji,Mitzlaff,1996-02-03,Staff,86261
11567,Teiji,Mitzlaff,9999-01-01,Senior Staff,86261
11588,Kaijung,Panangaden,1995-06-12,Senior Staff,40000
11603,Herb,Swen,1994-04-13,Staff,69180
11603,Herb,Swen,9999-01-01,Senior Staff,69180
11607,Tomokazu,Foong,9999-01-01,Engineer,49584
11615,Shem,Isaak,2000-08-28,Staff,46591
11615,Shem,Isaak,9999-01-01,Senior Staff,46591
11624,Adil,Gammage,9999-01-01,Senior Engineer,42001
11624,Adil,Gammage,1996-07-15,Engineer,42001
11628,Fan,Malinowski,9999-01-01,Senior Engineer,43966
11628,Fan,Malinowski,1997-10-23,Engineer,43966
11673,Henk,Felder,9999-01-01,Technique Leader,40000
11681,Fumitake,Benzmuller,9999-01-01,Senior Engineer,40000
11681,Fumitake,Benzmuller,1995-08-28,Engineer,40000
11684,Oksana,Gide,1995-02-21,Staff,68753
11684,Oksana,Gide,9999-01-01,Senior Staff,68753
11732,Sanjoy,Ranft,9999-01-01,Senior Engineer,40000
11747,Aksel,Kossowski,1993-02-20,Staff,90239
11747,Aksel,Kossowski,1999-01-16,Senior Staff,90239
11764,Sanjay,Anick,9999-01-01,Senior Engineer,64875
11764,Sanjay,Anick,1996-12-15,Engineer,64875
11772,Gaurav,Penz,9999-01-01,Engineer,61295
11797,Chenxi,Thambidurai,1996-08-30,Staff,88050
11797,Chenxi,Thambidurai,9999-01-01,Senior Staff,88050
11805,Rosine,Grandbois,1991-02-05,Assistant Engineer,40000
11810,Amabile,Bhattacharjee,9999-01-01,Senior Engineer,41256
11817,Niranjan,Markovitch,1993-04-12,Staff,50638
11817,Niranjan,Markovitch,9999-01-01,Senior Staff,50638
11832,Arto,Zlotek,9999-01-01,Engineer,40000
11844,Shawna,Demeyer,9999-01-01,Senior Engineer,78049
11844,Shawna,Demeyer,1995-01-27,Engineer,78049
11853,Zeljko,Kusakabe,1996-11-17,Staff,61941
11853,Zeljko,Kusakabe,9999-01-01,Senior Staff,61941
11857,Divier,Farrag,9999-01-01,Senior Staff,94805
11872,Cheong,Riexinger,2002-02-12,Staff,43159
11872,Cheong,Riexinger,9999-01-01,Senior Staff,43159
11894,Mitchel,Validov,9999-01-01,Senior Engineer,56198
11897,Cordelia,Setlzner,1997-06-16,Staff,80049
11897,Cordelia,Setlzner,9999-01-01,Senior Staff,80049
11933,Basil,Erman,9999-01-01,Senior Engineer,56130
11933,Basil,Erman,1992-06-12,Engineer,56130
11983,Jaana,Hedayat,9999-01-01,Senior Engineer,40000
11983,Jaana,Hedayat,1994-10-11,Engineer,40000
11987,Vidya,Schaar,1994-10-17,Staff,40000
11987,Vidya,Schaar,1997-12-04,Senior Staff,40000
11988,Chinya,Chinin,2001-12-31,Senior Engineer,57652
11988,Chinya,Chinin,1990-11-03,Engineer,57652
11993,Marit,Dalphin,9999-01-01,Senior Staff,56505
12033,Visit,Serot,1999-02-07,Engineer,49992
12036,Mads,Ratzlaff,1995-09-05,Staff,67143
12036,Mads,Ratzlaff,9999-01-01,Senior Staff,67143
12037,Arunas,Katzenelson,1992-09-30,Staff,47805
12037,Arunas,Katzenelson,9999-01-01,Senior Staff,47805
12052,Masako,Khasidashvili,1988-08-29,Technique Leader,40000
12062,Margareta,Worfolk,9999-01-01,Senior Staff,44199
12069,Ayonca,Burnard,9999-01-01,Senior Engineer,51928
12069,Ayonca,Burnard,1995-05-13,Engineer,51928
12069,Ayonca,Burnard,1990-05-13,Assistant Engineer,51928
12087,Weijing,Jumpertz,1993-03-24,Engineer,45432
12089,Bilhanan,Socorro,1994-10-22,Staff,46288
12089,Bilhanan,Socorro,9999-01-01,Senior Staff,46288
12099,Nobuyoshi,Kuzuoka,1999-02-15,Staff,104610
12099,Nobuyoshi,Kuzuoka,9999-01-01,Senior Staff,104610
12112,Satyanarayana,Avouris,1997-09-26,Staff,76538
12112,Satyanarayana,Avouris,9999-01-01,Senior Staff,76538
12123,Xiahua,Syrzycki,1994-07-18,Staff,64879
12123,Xiahua,Syrzycki,9999-01-01,Senior Staff,64879
